iter	Logloss
0	0.607247784
1	0.5526887195
2	0.4948817214
3	0.4448675316
4	0.4155921189
5	0.3760572969
6	0.3555676937
7	0.3303958944
8	0.3142109005
9	0.3018812913
10	0.2896287403
11	0.2807960865
12	0.2669790706
13	0.2587544852
14	0.2512991873
15	0.2407712178
16	0.2299801452
17	0.2187977134
18	0.2138695777
19	0.2096187733
20	0.2058016325
21	0.1975387967
22	0.1948298155
23	0.1892170631
24	0.1857583039
25	0.1802995672
26	0.1743901518
27	0.1692530801
28	0.1624897186
29	0.1588061032
30	0.1531438372
31	0.1519997038
32	0.1469214001
33	0.1434365736
34	0.1380959409
35	0.1320573536
36	0.1291843109
37	0.1265651641
38	0.1240079282
39	0.1213959582
40	0.1181651678
41	0.1160895308
42	0.114306273
43	0.111450593
44	0.1094055648
45	0.1074612042
46	0.1043833884
47	0.1025698591
48	0.1002796235
49	0.09794519464
50	0.09465220447
51	0.09175614168
52	0.09008243666
53	0.08763158816
54	0.08578491101
55	0.08432221962
56	0.08323369268
57	0.08209269827
58	0.08033738378
59	0.07922372071
60	0.07830151325
61	0.07633052224
62	0.07410052075
63	0.07270360762
64	0.07076093568
65	0.06978820985
66	0.06815676535
67	0.06652425841
68	0.06320536741
69	0.06206120324
70	0.06053068451
71	0.05966788942
72	0.05914399261
73	0.057605583
74	0.05626298096
75	0.05619131255
76	0.05578163252
77	0.05327488091
78	0.05184076129
79	0.05020123583
80	0.04850374609
81	0.04836743438
82	0.04798776983
83	0.04786660814
84	0.04708012568
85	0.04695356057
86	0.04560915226
87	0.04525309005
88	0.04513942152
89	0.0444180493
90	0.04303320652
91	0.04193068979
92	0.04091102187
93	0.04019871615
94	0.03962645553
95	0.03883056816
96	0.03780896213
97	0.03718266289
98	0.03641567692
99	0.03573985034
100	0.03533938184
101	0.03470671781
102	0.03463830596
103	0.0343760686
104	0.03396832888
105	0.03321061486
106	0.03230936846
107	0.03151558731
108	0.03098351725
109	0.0309313728
110	0.03027158728
111	0.03022349046
112	0.02969630852
113	0.02931753501
114	0.02881157893
115	0.02834175809
116	0.02792342028
117	0.02737146808
118	0.02703124807
119	0.02699014998
120	0.02695092628
121	0.02665969743
122	0.02633593049
123	0.0258722558
124	0.02562373794
125	0.02550364639
126	0.02477254186
127	0.02464966291
128	0.02461729621
129	0.0245071666
130	0.02399143755
131	0.02370314444
132	0.0236744639
133	0.02356973771
134	0.02334689874
135	0.02331222147
136	0.02294861227
137	0.02265370496
138	0.02220816766
139	0.02210111442
140	0.02175713464
141	0.02130685094
142	0.0210302744
143	0.02089503064
144	0.0205694871
145	0.02051332579
146	0.02036416586
147	0.02033630494
148	0.02004833925
149	0.01965989056
150	0.0194627085
151	0.01944123545
152	0.01921238877
153	0.01918919295
154	0.0190088716
155	0.01885741757
156	0.01883859898
157	0.01850425922
158	0.01839243432
159	0.01837493857
160	0.01813601349
161	0.01807151192
162	0.01787174792
163	0.01767441754
164	0.0176577645
165	0.01755693431
166	0.01740083826
167	0.01720844436
168	0.0171501219
169	0.01689683457
170	0.01678101588
171	0.01661495679
172	0.01640393327
173	0.01628884962
174	0.01627131651
175	0.01601609327
176	0.0159149972
177	0.01589716854
178	0.01570740054
179	0.015590437
180	0.01550883412
181	0.01546125148
182	0.01542286939
183	0.01525803535
184	0.01523218067
185	0.0151087194
186	0.01503364831
187	0.01486370421
188	0.01477163728
189	0.01468531547
190	0.01451724575
191	0.01427790866
192	0.01417078291
193	0.01411794737
194	0.01398514932
195	0.01382457276
196	0.01372164845
197	0.01358299321
198	0.01350630923
199	0.01336116725
